username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
DW Documentary,/channel/UCW39zufHfsuGgpLviKh297Q,Abuse in the Catholic Church | DW Documentary,538K,538K views,/watch?v=qae2UTsAKBc,"Child abuse in the Catholic Church was long a taboo subject, kept under wraps by senior church dignitaries. But in the pursuit of ...",05:37.0
Ascension Presents,/channel/UCVdGX3N-WIJ5nUvklBTNhAw,The Pennsylvania Sex Abuse Scandal,432K,432K views,/watch?v=AdR8eyaDCHg,"This talk is difficult for Fr. Mike to give, but sadly, it is also necessary. Since the Pennsylvania Report was released, practically ...",05:37.0
JRE Clips,/channel/UCnxGkOGNMqQEUMvroOWps6Q,Joe Rogan on Catholic Priest Scandals,1.7M,1.7M views,/watch?v=K2jEj6bFwPI,Taken from Joe Rogan Experience #1156: https://www.youtube.com/watch?v=k3YcGRCGEuY.,05:37.0
Tfilm,/user/TfilmProd,THE PREY | Sexual Abuse in the Catholic Church | FULL DOCUMENTARY,13K,13K views,/watch?v=AaPJDQ3ZhKI,"Italy is the symbol of the Catholic Church. Vatican City, the smallest independent state in the world, is situated right in the heart of ...",05:37.0
The New York Times,/user/TheNewYorkTimes,Abuse Documentary: The Shame of the Catholic Church | Retro Report | The New York Times,475K,475K views,/watch?v=jW-S9Ddws4w,"Sexual abuse in the Catholic Church has been making headlines for years. Some priests have been punished, but what about the ...",05:37.0
KHOU 11,/channel/UCXwRxm0zS0jBNTMOVI6xZJw,Unforgivable | The priest sex abuse scandal in the Catholic Church,70K,70K views,/watch?v=Yv4QboiTGX4,"The Archdiocese of Galveston-Houston says it will release its list of priests accused of child sex abuse this month, joining all ...",05:37.0
Al Jazeera English,/user/AlJazeeraEnglish,In Bad Faith: Child Sex Abuse and the Catholic Church | Fault Lines,44K,44K views,/watch?v=qfgUu2pGsI8,"In a series of exclusive interviews with Fault Lines, several men across New York City come forward with painful memories of ...",05:37.0
Psyched Videos,/channel/UCq_6AWhmTN0ACZJBC2U-jAQ,Pedophile Priests - documentary on Catholic Church Sex Abuse Scandal 2007,6.4K,6.4K views,/watch?v=tlqShWRvb1A,Pedophile Priests - documentary on Catholic Church Sex Abuse Scandal.,05:37.0
PBS NewsHour,/user/PBSNewsHour,What a landmark report says about sexual abuse in the Catholic Church,10K,10K views,/watch?v=Wh0SeKK0HYY,"Even with all that has been known about the Catholic Church's sexual abuse scandals, revelations about the role of Pope John ...",05:37.0
CBS This Morning,/user/CBSThisMorning,Hidden cameras capture 2 abuse victims confronting Catholic priest,221K,221K views,/watch?v=00n5Bf_9Gik,A former Catholic priest pleaded guilty to sexual abuse charges involving two boys. David Poulson faces up to 14 years in prison ...,05:37.0
Bishop Robert Barron,/user/wordonfirevideo,Why Remain Catholic? (With So Much Scandal),211K,211K views,/watch?v=-ani_hnN8Fs,"Friends, in light of the recent scandals, I know many people are wondering whether they should remain in the Catholic Church.",05:37.0
Real Stories,/channel/UCu4XcDBdnZkV6-5z2f16M0g,The Church: Code of Silence (Corrupt Priest Documentary) | Real Stories,463K,463K views,/watch?v=R3Mdd56mx3o,Secret internal documents reveal how church officials have protected priests accused of pedophilia by moving them from ...,05:37.0
Tr3Vel0cita,/user/Tr3Vel0cita,This World: The Shame of the Catholic Church,71K,71K views,/watch?v=4vuyZ90xBpw,,05:43.0
The Fifth Estate,/channel/UCa-bX3gZC3YnCThlGM5d38Q,Betrayal : Abuse in the Catholic Church in Nova Scotia (2010) - the fifth estate,693K,693K views,/watch?v=_jmpu3TopHc,"Betrayal tells the story of childhood abuse victims in Nova Scotia, who continued to feel profound hurt and damage as adults.",05:43.0
ABC News,/user/ABCNews,Pope Francis addresses Catholic Church sexual abuse crisis,68K,68K views,/watch?v=2oMqz5ZGgQU,"Catholics have been angry about the church's response and ""cover-up"" of sexual abuse of children by Catholic priests.",05:43.0
CNN,/user/CNN,Catholic abuse scandal,2K,2K views,/watch?v=TIebSMy8Myg,CNN's Nic Robertson reports that the sex abuse crisis in the Catholic Church threatens to undermine the pope.,05:43.0
Aerial View,/channel/UCBUAFg_RoFvnEJIedU75UTQ,Jordan Peterson on the Catholic Church Scandal,5.4K,5.4K views,/watch?v=WWvipwtddXs,Jordan Peterson on the Catholic Church If you have any complaint against my channel please send me an email to the email ...,05:43.0
BBC Newsnight,/user/BBCNewsnight,Spotlight - exposing the US Catholic priest child abuse scandal  - BBC Newsnight,28K,28K views,/watch?v=NOr274AJBBg,Evan Davis speaks to Walter Robinson and Mike Rezendes from the Boston Globe - the journalists who exposed the scandal ...,05:43.0
